date,post_count,post_count_diff,prob_epidemic
2017-10-24,44,28.0,
2017-10-25,31,-13.0,
2017-10-26,25,-6.0,
2017-10-27,22,-3.0,0.14236803144503993
2017-10-28,13,-9.0,
2017-10-29,3,-10.0,
2017-10-30,21,18.0,
2017-10-31,19,-2.0,
2017-11-01,18,-1.0,0.08833308337566727
2017-11-02,9,-9.0,
2017-11-03,6,-3.0,
2017-11-04,5,-1.0,
2017-11-05,3,-2.0,
2017-11-06,19,16.0,0.9999999999996633
2017-11-07,14,-5.0,
2017-11-08,20,6.0,
2017-11-09,25,5.0,
2017-11-10,12,-13.0,
2017-11-11,5,-7.0,0.1383610888985407
2017-11-12,11,6.0,
2017-11-13,14,3.0,
2017-11-14,20,6.0,
2017-11-15,17,-3.0,
2017-11-16,11,-6.0,0.18972643555066282
2017-11-17,13,2.0,
2017-11-18,5,-8.0,
2017-11-19,3,-2.0,
2017-11-20,7,4.0,
2017-11-21,9,2.0,0.005701875490591339
2017-11-22,11,2.0,
2017-11-23,8,-3.0,
2017-11-24,9,1.0,
2017-11-25,4,-5.0,
2017-11-26,4,0.0,0.001375464593164257
2017-11-27,6,2.0,
2017-11-28,15,9.0,
2017-11-29,17,2.0,
2017-11-30,11,-6.0,
2017-12-01,11,0.0,0.001700823705243793
2017-12-02,10,-1.0,
2017-12-03,3,-7.0,
2017-12-04,19,16.0,
2017-12-05,16,-3.0,
2017-12-06,12,-4.0,0.0004958714500895733
2017-12-07,9,-3.0,
2017-12-08,14,5.0,
2017-12-09,11,-3.0,
2017-12-10,4,-7.0,
2017-12-11,10,6.0,0.05224627453024209
2017-12-12,10,0.0,
2017-12-13,13,3.0,
2017-12-14,13,0.0,
2017-12-15,12,-1.0,
2017-12-16,2,-10.0,4.667635668283892e-174
2017-12-17,5,3.0,
2017-12-18,12,7.0,
2017-12-19,7,-5.0,
2017-12-20,16,9.0,
2017-12-21,12,-4.0,5.3379156350124766e-09
2017-12-22,14,2.0,
2017-12-23,4,-10.0,
2017-12-24,1,-3.0,
2017-12-25,1,0.0,
2017-12-26,6,5.0,0.999996671413385
2017-12-27,4,-2.0,
2017-12-28,4,0.0,
2017-12-29,8,4.0,
2017-12-30,7,-1.0,
2017-12-31,6,-1.0,1.214255718925531e-06
2018-01-01,2,-4.0,
2018-01-02,16,14.0,
2018-01-03,48,32.0,
2018-01-04,40,-8.0,
2018-01-05,25,-15.0,0.9490987028153731
2018-01-06,13,-12.0,
2018-01-07,13,0.0,
2018-01-08,21,8.0,
2018-01-09,21,0.0,
2018-01-10,24,3.0,0.05161145257676743
2018-01-11,13,-11.0,
2018-01-12,24,11.0,
2018-01-13,12,-12.0,
2018-01-14,3,-9.0,
2018-01-15,8,5.0,0.006614109525000344
2018-01-16,10,2.0,
2018-01-17,12,2.0,
2018-01-18,14,2.0,
2018-01-19,12,-2.0,
2018-01-20,8,-4.0,0.0007731503652905896
2018-01-21,4,-4.0,
2018-01-22,10,6.0,
2018-01-23,13,3.0,
2018-01-24,8,-5.0,
2018-01-25,9,1.0,0.0295703396733841
2018-01-26,11,2.0,
2018-01-27,4,-7.0,
2018-01-28,12,8.0,
2018-01-29,13,1.0,
2018-01-30,24,11.0,0.16638337517902468
2018-01-31,31,7.0,
2018-02-01,13,-18.0,
2018-02-02,9,-4.0,
2018-02-03,3,-6.0,
2018-02-04,5,2.0,0.27579583298518395
2018-02-05,10,5.0,
2018-02-06,7,-3.0,
2018-02-07,7,0.0,
2018-02-08,5,-2.0,
2018-02-09,7,2.0,0.06625931405449866
2018-02-10,3,-4.0,
2018-02-11,3,0.0,
2018-02-12,10,7.0,
2018-02-13,4,-6.0,
2018-02-14,5,1.0,0.10894562499327592
2018-02-15,3,-2.0,
2018-02-16,3,0.0,
2018-02-17,5,2.0,
2018-02-18,4,-1.0,
